Question,Answer
How long was the tunnel discovered by the San Diego Tunnel Task Force in March 2020?,"2,000 feet (610 m)"
What type of drugs were seized from the tunnel discovered in May 2022?,"Cocaine, methamphetamine, heroin, marijuana, and fentanyl"
How many tunnels have been discovered by BSF under the India-Pakistan Border since 1997?,12
"Which organization was used by Mohammad Umar Farooq, the Main planner of 2019 Pulwama attack in Jammu and Kashmir?",Pakistan Rangers
How many smuggling tunnels linking India with Bangladesh have been discovered by the Border Security Force?,Several
"How many tunnels crossing the border between North Korea and South Korea are believed to exist, according to the text?",Up to 20
How long is the North Korean portion of the tunnel?,"1,635 metres (1.016 miles)"
At what depth below ground was the North Korean portion of the tunnel located?,73 m (240 ft)
What is the purpose of the Gaza Strip smuggling tunnels?,To bypass the Egypt–Gaza barrier built by Israel.
Where do the smuggling tunnels pass under?,Under the Philadelphi corridor.
When was the Treaty for friendship and alliance between Bulgaria and Germany signed?,"September 6, 1915"
Who were some notable military leaders of Serbia during World War I?,"Radomir Putnik, Živojin Mišić, Stepa Stepanović, Petar Bojović, and Pavle Jurišić Šturm."
In which year did the Battle of Skra-di-Legen take place during World War I?,1918.
Who were some key military leaders mentioned in the text as part of the Bulgarian side?,"Nikola Zhekov, Panteley Kiselov, Stefan Toshev, Todor Kantardzhiev, and Ivan Kolev."
What was the outcome of the Franco-Turkish War?,Turkish victory.
When did the Franco–Turkish War start?,December 1918
What was the approximate number of Turkish National Forces in Feb. 1921?,"70,000 men"
What was the outcome of the Sykes-Picot Agreement for France?,France gained control of Ottoman Syria and southern Anatolia.
Who was responsible for looking after certain cities until the French arrived in the allocated regions?,The British.
What was the composition of the French Armenian Legion?,Armenian volunteers.
What was the primary goal of controlling Ottoman coal mines by the French military after the armistice of Mudros?,To take control of this energy source and to meet French military needs.
When did French troops begin to withdraw from Karadeniz Ereğli?,8 June 1920.
Who arrived in Constantinople on 8 February 1919 to coordinate the occupation government?,French general Franchet d'Espèrey.
When did French forces briefly hold the city of Bursa?,In 1920
"On what date did the first landing take place at Mersin with roughly 15,000 men?","November 17, 1918"
"When did the British troops occupy the Ottoman provinces of Antep, Marash, and Urfa?",The end of 1919.
Who was the governor of the French occupation zone in the south from September 1920–23 December 1921?,Julien Dufieux.
What type of resistance did the French encounter from the Turks?,Immediate resistance
Where did the French mainly want to settle?,Syria
When did the French occupation troops evacuate Marash?,On 11 February 1920
Who suspects that the French forces gave weapons and ammunition to the Kemalists?,Sarkis Torossian
When did the French forces withdraw from the occupation zone?,January 1922
What date is mentioned as the completion of the French evacuation from Osmaniye?,January 7
Who issued a request for military support from its colonies?,The British government.
What was refused by the colonies when requested by the British government?,Military support.
What was the name of the agreement signed between France and the Turkish National Movement?,A separate agreement
Where was the Conference of Lausanne held?,Lausanne
What contributed to tension between Turkey and another country?,The sanjak of Alexandretta remaining under French control.
What was the nature of the relationship between Turkey and this other country after the Treaty of Ankara?,"Friendly, if limited."
Who cleared the Ottoman debts?,The Republic of Turkey.
What treaty did Turkey follow to clear the Ottoman debts?,The Treaty of Lausanne.
What is the oldest kind of well?,A water well.
How old are wells that were first constructed?,At least eight thousand years ago.
What is the traditional method used to sink wells in rural areas of the developing world?,Hand digging
What material is often used to case drilled wells?,Steel or plastic
What is the typical material used for casing drilled wells?,Steel or plastic.
Can drilled wells access water at greater depths than dug wells?,Yes.
What is a common way to construct a well?,"Shallow or unconfined wells completed within the uppermost saturated aquifer at that location, and deep or confined wells, sunk through an impermeable stratum into an aquifer beneath."
Why does well water often require treatment before being potable?,Because it typically contains more minerals in solution than surface water.
What can cause soil salination?,The water table falling and the surrounding soil drying out.
What else can potentially contaminate the water?,Methane.
Where was the oldest reliably dated well found?,Cyprus
What is the depth of Well 116 from Kissonerga-Mylouthkia on Cyprus?,8 metres (26 ft)
When were wood-lined wells known from the early Neolithic Linear Pottery culture?,5265 BC.
"Where was Eythra in Schletz, an outlying centre of Asparn an der Zaya, located?",Austria.
When did the Neolithic Chinese make extensive use of deep drilled groundwater?,No specific date is mentioned in the text.
How many tile wells were believed to have been built around 600 BC for drinking and irrigation?,60
What is the maximum depth that a shadoof can bring up water from?,3 metres
How deep can a sakia bring up water from?,10 metres
When was the first recorded salt well dug in the Sichuan province of China?,"Around 2,250 years ago."
How deep were the earliest known oil wells drilled in China?,Up to about 240 metres (790 ft).
What was petroleum known as in Japan in the 7th century?,Burning water
"In which century was petroleum known as ""Burning water"" in Japan?",The 7th century
What type of wells were common until recent centuries?,Pumpless hand-dug wells.
Where do pumpless hand-dug wells remain an important source of potable water today?,Rural developing areas.
What is the purpose of bracing a hand-dug well horizontally?,To avoid landslide or erosion endangering the people digging.
What material can be used to form a lining around a hand-dug well?,Stone or brick.
What is the maximum depth to which hand-dug wells have been successfully excavated?,60 metres (200 ft)
How can the yield of an existing hand-dug well be improved?,By deepening or introducing vertical tunnels or perforated pipes
What is one drawback to hand-dug wells?,They may be time-consuming to dig and line.
Why might a hand-dug well be susceptible to yield fluctuations?,Because they exploit shallow aquifers.
What is one danger associated with construction of hand-dug wells?,Collapse of the well bore.
What can cause asphyxiation when constructing hand-dug wells?,Dewatering pump exhaust fumes.
What is the depth of the Woodingdean Water Well?,392 meters
"How deep is the Pozzo di San Patrizio (St. Patrick's Well) in Orvieto, Italy?",61 meters
What is used to drive a point into the ground when creating a driven well?,A tripod and driver.
What type of drilling machine uses drilling stems that rotate to cut into the formation?,Top-head rotary.
What percentage of formation types can be accessed by rotary drilling method?,90%
How deep can drilled wells typically get water from compared to dug wells?,Several hundred meters.
What is typical depth range of water wells?,3 to 18 metres (10–60 ft)
Can some water wells go deeper than?,"900 metres (3,000 ft)"
What is the typical length of individual sections of steel tubing used in rotary drilling machines?,"3m (10ft), 6 m (20 ft) to 8m (26ft)"
What is used as a circulation fluid to displace cuttings and cool bits during the drilling process?,Air and/or water
What type of drilling uses a specially made mud as drilling fluid?,Mud rotary
When are boreholes drilled into solid rock typically cased?,After the drilling process is completed
What is the oldest form of drilling machinery?,The cable tool.
How often does the bit twist in a 1/4 revolution when using the cable tool drilling method?,Per drop.
What material is commonly used to make casing for steel cased wells?,Steel
How are PVC or plastic casings typically connected in a drilled well?,By solvent welding and gluing/splining together
What is the typical length of sections of casing?,6 metres (20 ft)
What is the typical diameter of sections of casing?,4 to 12 in (10 to 30 cm)
What is typically used to control surface contamination of wells in the United States?,A surface seal.
What material fills the annular space between the large bore hole and the smaller casing?,"Bentonite clay, concrete, or other sealant material."
What is usually placed on top of wells?,An engineered well cap or seal
What does an engineered well cap or seal typically prevent from accessing the well?,"Insects, small animals, and unauthorized persons"
What type of device is left at the bottom of wells in unconsolidated formations?,A screening device
What material is typically used to line/case rock wells?,PVC
What type of well uses a filter pack method?,Some wells
What is packed around the screen in a filter pack method well?,A filter medium
What type of well is constructed adjacent to freshwater lakes or streams?,A collector well (or Ranney well/Ranney collector)
Where does pumping from within the caisson induce infiltration of water into the aquifer?,From the surface water body
What are two broad classes of well types that may be distinguished?,Based on the use of the well.
Can a water well constructed for pumping groundwater also be used as something else?,"Yes, it can also be used passively as a monitoring well."
What kind of professional can help find information about geology before excavation?,A hydrogeologist or a groundwater surveyor.
What tool can be used by a hydrogeologist or groundwater surveyor to gather data for excavation?,Electro-seismic surveying.
Can shallow pumping wells supply drinking water at a low cost?,Yes
Are dug wells generally reliable in the majority of the United States?,No
What is one common bacterial contaminant of well water?,E. coli
Which type of parasite is mentioned as a contaminant of well water?,Giardia lamblia
What is a common problem with groundwater?,Chemical contamination.
"What type of pollutant chemicals includes pesticides and volatile organic compounds from gasoline, dry-cleaning, MTBE, and perchlorate?",Volatile organic compounds.
What is one example of a contaminant that can leach from old pipes?,Lead
What mineral can cause dental fluorosis if present in high concentrations?,Fluoride
What is known as the problem caused by calcium and magnesium in water?,Hard water.
What can form slimy black colonies that clog pipes due to iron and manganese bacteria?,Colonies.
What is recommended to clean the well?,With a 1% chlorine solution.
How often should the well be cleaned after its initial construction?,Every 6 months.
What should be done with well holes?,They should be covered.
What type of vent is ideal for a well cover?,Screened.
What is one way that education helps protect drinking water?,Education of the general population.
What type of education is relevant to protecting drinking water?,General population.
What can be dramatically reduced by correctly centering the casing during construction?,Contamination of groundwater from surface and subsurface sources.
Why is it important to place grout in the casing annulus?,"Because, in the absence of a correctly constructed casing seal, contaminated fluid can travel into the well through the casing annulus."
What is considered best practice upon constructing a new test well?,Investing in a complete battery of chemical and biological tests on the well water.
What type of treatment method involves filtering out contaminants of concern?,Point-of-use treatment.
How can you kill microorganisms in wellwater?,By bringing it to a full boil for one to three minutes.
What is an initial treatment for a household well contaminated by microorganisms?,Shock chlorination using bleach.
What type of photons break through the cell wall to kill pathogens in the UV disinfection process?,UV-C photons
Is UV disinfection a chemical-free method of water treatment?,Yes
What is caused when the water table of the soil drops over time?,Soil salination
What happens as a result of increased salt in the soil?,The degradation of soil and drying out of the soil
What happens when methane is introduced into a confined space?,"It displaces oxygen, reducing oxygen concentration."
Are low levels of methane in drinking water considered toxic?,No.
When were the described wells/pumps no longer very efficient?,Lately.
Who is now supplying information on how to build/set-up (DIY) handpumps and treadle pumps in practice?,Appropriate technology organizations as Practical Action.
What is a characteristic of PFAS chemicals?,They spread very quickly and very far in groundwater.
When did water wells near certain airports become likely to be contaminated by PFAS?,Up to 2010.
What is the significance of springs and wells in prehistoric times?,Cultural significance
Who used a well in his calculation of the Earth's circumference?,Eratosthenes (note: this is a simplification)
What determines the rate at which water flows into a well?,The pressure difference between the groundwater at the well bottom and the well water.
What is the factor that affects the pressure of a column of water?,The cross-sectional area of the column.
What is represented by ρ in the equation?,The mass density of water.
What law is used to calculate the volume rate at which water is forced into the well?,Darcy's Law.
What is the resistance to flow dependent on?,"The well cross section, pressure gradient at the bottom of the well, and characteristics of the substrate at the well bottom."
What will dz/dt be equal to for a depleted well if measured?,zT / τ
How long would it take a fully depleted well to practically recover?,About 4.6 τ
What does the model not account for in calculating the time for a well to practically recover?,Depletion of the aquifer due to pumping
When did the Second Anglo-Boer War start?,11 October 1899
What was the conflict fought between?,The British Empire and the two Boer republics (the South African Republic and Orange Free State)
"Where did the Witwatersrand Gold Rush cause a large influx of ""foreigners""?",South African Republic (SAR)
How many troops did the British government decide to send to South Africa in response to the conflict breaking out?,"10,000"
Who were the attackers in Southern Africa?,The British Army soldiers.
What was the outcome of the attacks on the Boers?,Unsuccessful.
Who replaced General Redvers Buller as commanding officer in early 1900?,Lord Roberts and Lord Kitchener
What was the official outcome of the British invasion of the Boer republics in 1900?,The British Empire annexed the two republics.
Who led the Boer guerrilla campaign?,"Generals such as Louis Botha, Jan Smuts, Christiaan de Wet, and Koos de la Rey."
What type of attacks did Boer fighters use against the British?,Hit-and-run attacks and ambushes.
How many people died due to starvation and disease in British concentration camps for Boer civilians?,"26,000"
What was the main reason why black Africans were interned in concentration camps by the British?,To prevent them from supplying the Boers
Who offered generous terms of surrender to remaining Boer leaders to end the conflict?,Kitchener
"When did most Boer commanders accept the British terms in the Treaty of Vereeniging, surrendering?",May 1902
What were the major colonial forces that aided British expeditionary efforts?,"The Cape Colony, the Natal, Rhodesia, and many volunteers from the British Empire worldwide."
"Which countries contributed volunteers to the Boer cause, including the UK?","Germany, United States, Russia, Australia, Ireland."
When was a trial for British war crimes committed during the Boer War opened?,January 1901.
"What is considered to be one of the outcomes of the Boer War, according to some historians?",The beginning of questioning the British Empire's veneer of impenetrable global dominance.
What were the British garrisons of that were besieged by the Boers at the beginning of the war?,"Ladysmith, Mafeking, and Kimberley."
"When was Pretoria, the capital of the Transvaal republic, captured by the British army?",June 1900.
When did the third phase of the war between the British and the Boers begin?,March 1900
What was the policy adopted by the British to deny supplies to the Boer guerrillas during this phase?,Scorched earth policy
When did the Boer forces finally surrender?,"On Saturday, 31 May 1902."
What was the name of the peace treaty that absorbed the two republics into the British Empire?,The Treaty of Vereeniging.
What was the cost of the Second Boer War in Britain?,£211 million
How many British combat casualties were there in the Crimean War (1853-1856)?,None mentioned (the text only mentions the total number of British deaths due to disease)
What is the common name for Afrikaans-speaking white South Africans descended from the Dutch East India Company's original settlers at the Cape of Good Hope?,Boer
In what language may the conflict be called 'Tweede Vryheidsoorlog'?,Afrikaans
What is officially called the war that took place from 1899-1902 in South Africa?,The South African War.
Who discovered the Witwatersrand gold mines in June 1884?,Jan Gerrit Bantjes.
When was the first European settlement in South Africa founded?,1652
Who governed the Cape of Good Hope after the Dutch East India Company went bankrupt?,The Netherlands
What was the approximate number of colonists settled under Dutch rule at the time?,"26,000"
What percentage of colonists were of German origin?,One-fourth
What was the time period during which many Boers migrated away from British rule?,Between 1836 and 1852.
Why were Boers who used forced labor unable to collect compensation for their slaves?,They would have been unable to do so.
When did Britain annex Natal?,1843
What were the two independent Boer republics established in South Africa's eastern interior?,The South African Republic (also known as the Transvaal Republic) and the Orange Free State
When were diamonds discovered at Kimberley?,1866
Who discovered gold in the Witwatersrand area of the South African Republic?,Jan Gerrit Bantjes
What was threatening to happen in the Transvaal?,The number of uitlanders (non-Boer arrivals) was threatening to exceed the number of Boers.
Who were having confrontations in the Transvaal?,"The Boer settlers and the newer, non-Boer arrivals (uitlanders)."
Who led the Jameson Raid of 1895?,Dr. Leander Starr Jameson
What was the outcome of the Jameson Raid of 1895?,"The raid failed, with Transvaal government forces surrounding and capturing Jameson's men."
What was one of the issues attempted to be negotiated on by political factions?,Uitlanders' rights within the South African Republic.
Why did the Boers recognize that granting full voting rights to uitlanders would eventually result in a loss for them?,"Because of the ongoing influx of new uitlanders into Johannesburg, resulting in eventual loss of ethnic Boer control."
Who demanded full voting rights and representation for uitlanders residing in the Transvaal in September 1899?,Joseph Chamberlain
On what date did President Paul Kruger issue an ultimatum to the British government?,"October 9, 1899"
Who did the South African Republic and Orange Free State declare war on?,Britain
When did Britain annex Basutoland?,In 1868.
What was the purpose of the Berlin Conference of 1884–1885?,To draw boundaries between the European powers' African possessions.
When did Germany annex Damaraland and Namaqualand?,In 1884.
What year did Britain annex Bechuanaland?,1885.
Who was the President of the Transvaal Republic during the First Boer War?,Paul Kruger
What ended the First Boer War between Britain and the Transvaal Republic?,An armistice
When was the world's largest deposit of gold-bearing ore discovered?,June 1884
What is the local name for the ridge where the gold-bearing ore was found?,Witwatersrand
Where did the city of Johannesburg initially develop from?,A shanty town.
What measures did the Boers take to contain the influence of uitlanders in Johannesburg and the Rand?,"By requiring lengthy residential qualifying periods before voting rights could be obtained; imposing taxes on the gold industry; and introducing controls through licensing, tariffs and administrative requirements."
When did Kruger propose building a railway through Portuguese East Africa?,1894-1895
Who was the Prime Minister of the Cape Colony at the time?,Cecil Rhodes
Who led a column of 600 armed men into the Transvaal in 1895?,Jameson
What was the main composition of the column that entered the Transvaal?,Rhodesian and Bechuanaland British South Africa Policemen
How long did it take for Jameson's column to reach Johannesburg?,Three days
Who surrendered and was arrested by the Boers at the end of the Jameson Raid?,Jameson's men
What happened to the police in Rhodesia after the botched raid?,They departed.
What was the name of the rebellion that broke out among the Matabele and Mashona peoples?,The Second Matabele War.
Who sent a telegram congratulating President Kruger on his success?,The German Kaiser
What was found in the baggage of the raiding column that caused embarrassment to Britain?,Telegrams from Cecil Rhodes and other plotters in Johannesburg
What happened to Rhodes after he sponsored the failed coup d'état?,He was forced to resign.
Where did Rhodes serve as Prime Minister before his resignation?,The Cape.
Who was tried in England?,Jameson
What was the original sentence of the uitlander leaders found guilty of high treason?,Death by hanging
How much did each of the released Reform Committee members pay in fines?,"£2,000"
"When did Frederick Gray, a member of the Reform Committee, commit suicide?",16 May
